Období;Výdaje HDP: Čtvrtletní, Běžné ceny, B1GM Hrubý domáci produkt, Nominální hodnoty v mil. CZK, Sezónně očištěno * (mil. CZK);
2024-09-30;2015888;
2024-06-30;1997234;
2024-03-31;1964458;
2023-12-31;1926882;
2023-09-30;1912860;
2023-06-30;1908088;
2023-03-31;1878715;
2022-12-31;1818254;
2022-09-30;1792339;
2022-06-30;1738245;
2022-03-31;1699629;
2021-12-31;1627756;
2021-09-30;1606567;
2021-06-30;1560260;
2021-03-31;1511478;
2020-12-31;1512775;
2020-09-30;1478235;
2020-06-30;1364423;
2020-03-31;1474538;
2019-12-31;1502545;
2019-09-30;1484551;
2019-06-30;1461873;
2019-03-31;1442449;
2018-12-31;1399421;
2018-09-30;1378423;
2018-06-30;1358704;
2018-03-31;1344738;
2017-12-31;1329024;
2017-09-30;1311692;
2017-06-30;1291908;
2017-03-31;1252708;
2016-12-31;1226637;
2016-09-30;1214960;
2016-06-30;1201690;
2016-03-31;1197835;
2015-12-31;1181435;
2015-09-30;1173874;
2015-06-30;1157385;
2015-03-31;1141129;
2014-12-31;1118084;
2014-09-30;1103516;
2014-06-30;1086030;
2014-03-31;1069380;
2013-12-31;1066853;
2013-09-30;1042936;
2013-06-30;1032871;
2013-03-31;1025499;
2012-12-31;1029782;
2012-09-30;1028602;
2012-06-30;1029067;
2012-03-31;1029704;
2011-12-31;1031072;
2011-09-30;1026108;
2011-06-30;1021146;
2011-03-31;1013278;
2010-12-31;1012335;
2010-09-30;1015936;
2010-06-30;1010148;
2010-03-31;990769;
2009-12-31;990351;
2009-09-30;978869;
2009-06-30;982684;
2009-03-31;995085;
2008-12-31;994403;
2008-09-30;1026370;
2008-06-30;1014746;
2008-03-31;998390;
2007-12-31;984369;
2007-09-30;975359;
2007-06-30;952367;
2007-03-31;945987;
2006-12-31;910918;
2006-09-30;894243;
2006-06-30;872562;
2006-03-31;854239;
2005-12-31;843809;
2005-09-30;821594;
2005-06-30;813382;
2005-03-31;806617;
2004-12-31;803030;
2004-09-30;776286;
2004-06-30;755351;
2004-03-31;748170;
2003-12-31;718918;
2003-09-30;710635;
2003-06-30;706786;
2003-03-31;696157;
2002-12-31;681098;
2002-09-30;678580;
2002-06-30;677601;
2002-03-31;666529;
2001-12-31;666607;
2001-09-30;655689;
2001-06-30;640108;
2001-03-31;630214;
2000-12-31;614728;
2000-09-30;607456;
2000-06-30;595469;
2000-03-31;583343;
1999-12-31;581588;
1999-09-30;568877;
1999-06-30;561107;
1999-03-31;550470;
1998-12-31;547280;
1998-09-30;550203;
1998-06-30;542794;
1998-03-31;526513;
1997-12-31;515258;
1997-09-30;497819;
1997-06-30;487282;
1997-03-31;480001;
1996-12-31;476540;
1996-09-30;464279;
1996-06-30;454520;
1996-03-31;443728;
1995-12-31;421672;
1995-09-30;410404;
1995-06-30;394117;
1995-03-31;380105;
