Období;1. Úvěry rezidentům (bez CP) - Celkem;2. Úvěry rezidentům (bez CP) - MFI;3. Úvěry rezidentům (bez CP) - Vládní instituce;4. Úvěry rezidentům (bez CP) - Ostatní rezidenti;5. Držba cenných papírů jiných než akcií emitovaných rezidenty - Celkem;6. Držba cenných papírů jiných než akcií emitovaných rezidenty - MFI;7. Držba cenných papírů jiných než akcií emitovaných rezidenty -  Vládní instituce;8. Držba cenných papírů jiných než akcií emitovaných rezidenty -  Ostatní rezidenti;9. Držba akcií a jiných majetkových účastí emitovaných rezidenty - Celkem;10. Držba akcií a jiných majetkových účastí emitovaných rezidenty - MFI;11. Držba akcií a jiných majetkových účastí emitovaných rezidenty - Ostatní rezidenti;12. Zahraniční  aktiva;13. Stálá aktiva;14. Ostatní aktiva;15. Celkem;
2024-09-30;2326.7;500.7;0;1826.1;0;0;0;0;0;0;0;3439100.4;11605.5;50187.3;3503219.9;
2024-08-31;1834;10;0;1824;0;0;0;0;0;0;0;3413562.4;11576.7;49663.2;3476636.4;
2024-07-31;2560.1;740;0;1820.1;0;0;0;0;0;0;0;3477037.5;11561.7;50914.1;3542073.6;
2024-06-30;1823.8;0;0;1823.8;2566.8;0;2566.8;0;0;0;0;3391867.1;11524.8;51495.7;3459278.3;
2024-05-31;1816.9;0;0;1816.9;2555.8;0;2555.8;0;0;0;0;3334076.4;11523.2;50803.8;3400776.2;
2024-04-30;1809.6;0;0;1809.6;2560.6;0;2560.6;0;0;0;0;3393103.7;11529.9;52639.4;3461643.2;
2024-03-31;1815.5;0;0;1815.5;2578.4;0;2578.4;0;0;0;0;3452503.3;11496.8;52469.2;3520863.2;
2024-02-29;1812.9;0;0;1812.9;2577.6;0;2577.6;0;0;0;0;3384949.6;11487.7;50545.6;3451373.4;
2024-01-31;1788.3;0;0;1788.3;2564.5;0;2564.5;0;0;0;0;3309242.4;11464;48435.9;3373495.2;
2023-12-31;1792.9;0;0;1792.9;2540.6;0;2540.6;0;0;0;0;3284408.4;11462.5;47169.9;3347374.4;
2023-11-30;1800.1;0;0;1800.1;2501.3;0;2501.3;0;0;0;0;3131285.2;11388.1;56427.9;3203402.6;
2023-10-31;5406.2;3608.5;0;1797.7;2499.2;0;2499.2;0;0;0;0;3117288.3;11409.4;47856;3184459.1;
2023-09-30;4294.9;2500;0;1794.9;2464.2;0;2464.2;0;0;0;0;3144692.5;11374.8;47323.4;3210149.8;
2023-08-31;1796.6;0;0;1796.6;2473.8;0;2473.8;0;0;0;0;3089727.8;11353.3;46090.5;3151442.1;
2023-07-31;1784.8;0;0;1784.8;2474;0;2474;0;0;0;0;3075038.4;11340.3;45216;3135853.5;
2023-06-30;1787.4;0;0;1787.4;2441.2;0;2441.2;0;0;0;0;3055070.1;11324.2;45447.3;3116070.1;
2023-05-31;1781.5;0;0;1781.5;2425.9;0;2425.9;0;0;0;0;2987512.6;11336.3;54650.8;3057707.1;
2023-04-30;1781.9;0;0;1781.9;2433.6;0;2433.6;0;0;0;0;2956045.7;11313.5;45560.7;3017135.3;
2023-03-31;1786.1;10;0;1776.1;2420.9;0;2420.9;0;0;0;0;3015657.2;11311.8;44838.4;3076014.4;
2023-02-28;1776.8;0;0;1776.8;2385.7;0;2385.7;0;0;0;0;2957705.1;11443.5;45537.3;3018848.5;
2023-01-31;5983.2;4200;0;1783.2;2393.8;0;2393.8;0;0;0;0;3100526.4;11422.9;45384.6;3165710.9;
2022-12-31;1784.4;0;0;1784.4;2363.5;0;2363.5;0;0;0;0;3133692.8;11419.9;45902.4;3195162.9;
2022-11-30;1783.1;0;0;1783.1;2373.7;0;2373.7;0;0;0;0;3180440.7;11347.3;47243.2;3243188;
2022-10-31;1786.6;0;0;1786.6;2290;0;2290;0;0;0;0;3221266.7;11330.2;47939.6;3284613.1;
2022-09-30;1777.4;0;0;1777.4;2328.5;0;2328.5;0;0;0;0;3302734.2;11342.3;49626.1;3367808.4;
2022-08-31;1767;0;0;1767;2339.9;0;2339.9;0;0;0;0;3433244.2;11366.3;52623.1;3501340.5;
2022-07-31;1769.7;0;0;1769.7;2357;0;2357;0;0;0;0;3557956.2;11356.8;49629.7;3623069.5;
2022-06-30;1918;150;0;1768;2303.5;0;2303.5;0;0;0;0;3646759.3;11354;48175.7;3710510.5;
2022-05-31;4354.9;2600;0;1754.9;2343.2;0;2343.2;0;0;0;0;3828065;11266.1;51374.4;3897403.7;
2022-04-30;1752.6;0;0;1752.6;2367.5;0;2367.5;0;0;0;0;3910389.4;11281.6;55641.9;3981433.1;
2022-03-31;1745;0;0;1745;2404.5;0;2404.5;0;0;0;0;3779177.2;11270.6;44422.1;3839019.4;
2022-02-28;1747.7;10;0;1737.7;0;0;0;0;0;0;0;3878301.7;11216.3;49150.9;3940416.7;
2022-01-31;1737.7;0;0;1737.7;0;0;0;0;0;0;0;3770031.4;11178.3;47127.6;3830075.1;
2021-12-31;1731.1;0;0;1731.1;0;0;0;0;0;0;0;3775345.4;11181.7;45464.3;3833722.5;
2021-11-30;1722.3;0;0;1722.3;0;0;0;0;0;0;0;3790972.8;11199.1;46880.2;3850774.4;
2021-10-31;8540.3;6821;0;1719.3;0;0;0;0;0;0;0;3776530.5;11243.1;45870.9;3842184.7;
2021-09-30;2716.7;1000;0;1716.7;0;0;0;0;0;0;0;3688278.4;11250.4;48884.2;3751129.7;
2021-08-31;1690.1;0;0;1690.1;0;0;0;0;0;0;0;3657094;11248.9;45262.7;3715295.7;
2021-07-31;1668.7;0;0;1668.7;0;0;0;0;0;0;0;3562963.2;11233;44589.8;3620454.6;
2021-06-30;24673.1;23000;0;1673.1;0;0;0;0;0;0;0;3545776.1;11180.9;45432.9;3627063;
2021-05-31;24687.9;23000;0;1687.9;0;0;0;0;0;0;0;3505915.1;11191.3;43513.9;3585308.2;
2021-04-30;24678.1;23000;0;1678.1;0;0;0;0;0;0;0;3554805;11185.4;45156.7;3635825.1;
2021-03-31;1660.4;0;0;1660.4;0;0;0;0;0;0;0;3609909.6;11138.8;50874.2;3673583;
2021-02-28;1645.5;0;0;1645.5;0;0;0;0;0;0;0;3545611.5;11084.2;49192.5;3607533.7;
2021-01-31;1647.1;10;0;1637.1;0;0;0;0;0;0;0;3490616.6;11138.3;47020.4;3550422.2;
2020-12-31;1622;0;0;1622;0;0;0;0;0;0;0;3519580.4;11203.3;45674.2;3578079.9;
2020-11-30;1622.3;0;0;1622.3;0;0;0;0;0;0;0;3519189.2;11180.6;46692.7;3578684.9;
2020-10-31;1622.7;0;0;1622.7;0;0;0;0;0;0;0;3627060.2;11211;49055.6;3688949.5;
2020-09-30;1613.5;0;0;1613.5;0;0;0;0;0;0;0;3634110.7;11202.3;37847.3;3684773.7;
2020-08-31;1601.3;0;0;1601.3;0;0;0;0;0;0;0;3485533.6;11160.5;35854;3534149.5;
2020-07-31;1594.8;0;0;1594.8;0;0;0;0;0;0;0;3468761.1;11116.5;37011.1;3518483.5;
2020-06-30;1598.2;0;0;1598.2;0;0;0;0;0;0;0;3591303.6;11222.6;38796.7;3642921;
2020-05-31;1600.6;0;0;1600.6;0;0;0;0;0;0;0;3625484;11215.9;27086.2;3665386.6;
2020-04-30;1594.7;0;0;1594.7;0;0;0;0;0;0;0;3649187.7;11210.1;27850.2;3689842.7;
2020-03-31;1616.7;20;0;1596.7;0;0;0;0;0;0;0;3609734.1;11209.2;26790.2;3649350.2;
2020-02-29;1588.8;0.1;0;1588.7;0;0;0;0;0;0;0;3390477.2;11182.7;13314;3416562.6;
2020-01-31;1588.1;0.1;0;1588;0;0;0;0;0;0;0;3375359.1;11179.2;12762.6;3400889;
2019-12-31;1588.7;0.1;0;1588.6;0;0;0;0;0;0;0;3386070.2;11144.2;13550.1;3412353.2;
2019-11-30;1583.1;10.1;0;1573;0;0;0;0;0;0;0;3400656.9;11078.2;16584;3429902.2;
2019-10-31;1567.3;0.1;0;1567.2;0;0;0;0;0;0;0;3374896.4;11041.8;9525.4;3397030.9;
2019-09-30;1567.2;0.1;0;1567;0;0;0;0;0;0;0;3417490.1;11044.3;2329;3432430.6;
2019-08-31;1562.6;0.1;0;1562.5;0;0;0;0;0;0;0;3407223.1;11037.1;3518.3;3423341.1;
2019-07-31;1562.5;0.1;0;1562.3;0;0;0;0;0;0;0;3344718.4;11014.6;1431.4;3358726.8;
2019-06-30;1565.2;0.1;0;1565.1;0;0;0;0;0;0;0;3293833.9;10996.5;6723.6;3313119.2;
2019-05-31;1565.1;0.1;0;1565;0;0;0;0;0;0;0;3316988.4;10982.7;4036.4;3333572.5;
2019-04-30;1559.4;0.1;0;1559.2;0;0;0;0;0;0;0;3286233.7;10977.1;4767.7;3303537.9;
2019-03-31;1554.6;0.1;0;1554.5;0;0;0;0;0;0;0;3290379.6;10982.9;3415.5;3306332.7;
2019-02-28;1540.9;0.1;0;1540.8;0;0;0;0;0;0;0;3223472.4;10982.1;9151.5;3245147;
2019-01-31;1543.6;0.1;0;1543.5;0;0;0;0;0;0;0;3235039.9;10979;5371.6;3252934.2;
2018-12-31;1544.1;0.1;0;1544;0;0;0;0;0;0;0;3207512;10846.9;2066.2;3221969.2;
2018-11-30;1553.4;10.1;0;1543.3;0;0;0;0;0;0;0;3235475.9;10743.5;6205.9;3253978.6;
2018-10-31;2446.8;0.1;0;2446.6;0;0;0;0;0;0;0;3228609.1;10727.3;8768.6;3250551.7;
2018-09-30;2445.5;0.1;0;2445.4;0;0;0;0;0;0;0;3171750.4;10719.2;5129.9;3190045;
2018-08-31;2540.4;10.1;0;2530.2;0;0;0;0;0;0;0;3199006;10714.1;2687.8;3214948.3;
2018-07-31;2526.9;0.1;0;2526.7;0;0;0;0;0;0;0;3167197.7;10714.7;3875.4;3184314.7;
2018-06-30;2526.4;0.1;0;2526.2;0;0;0;0;0;0;0;3225005.8;10715.6;3168.9;3241416.7;
2018-05-31;2522.7;10.1;0;2512.6;0;0;0;0;0;0;0;3201551.2;10717.4;3229.8;3218021.2;
2018-04-30;2508.4;0.1;0;2508.2;0;0;0;0;0;0;0;3124653.2;10700.5;5085.3;3142947.4;
2018-03-31;2512;10.1;0;2501.9;0;0;0;0;0;0;0;3096817.4;10692.2;3365.3;3113386.9;
2018-02-28;2495.1;0.1;0;2495;0;0;0;0;0;0;0;3138079.5;10717;2859.4;3154151;
