"DATE","TIME PERIOD","Total Assets/Liabilities reported by the Eurosystem (stocks) (BSI.M.U2.N.C.T00.A.1.Z5.0000.Z01.E)"
"1997-09-30","1997Sep","710258"
"1997-10-31","1997Oct","711193"
"1997-11-30","1997Nov","714958"
"1997-12-31","1997Dec","732096"
"1998-01-31","1998Jan","709560"
"1998-02-28","1998Feb","730349"
"1998-03-31","1998Mar","710286"
"1998-04-30","1998Apr","709114"
"1998-05-31","1998May","716763"
"1998-06-30","1998Jun","794162"
"1998-07-31","1998Jul","796830"
"1998-08-31","1998Aug","801297"
"1998-09-30","1998Sep","775921"
"1998-10-31","1998Oct","772533"
"1998-11-30","1998Nov","781508"
"1998-12-31","1998Dec","694427"
"1999-01-31","1999Jan","1104742"
"1999-02-28","1999Feb","1180305"
"1999-03-31","1999Mar","1210646"
"1999-04-30","1999Apr","1139673"
"1999-05-31","1999May","1030257"
"1999-06-30","1999Jun","1463070"
"1999-07-31","1999Jul","1368647"
"1999-08-31","1999Aug","1116012"
"1999-09-30","1999Sep","1057511"
"1999-10-31","1999Oct","1163197"
"1999-11-30","1999Nov","1084994"
"1999-12-31","1999Dec","1013681"
"2000-01-31","2000Jan","1055987"
"2000-02-29","2000Feb","969189"
"2000-03-31","2000Mar","1051626"
"2000-04-30","2000Apr","1081486"
"2000-05-31","2000May","1084105"
"2000-06-30","2000Jun","1208919"
"2000-07-31","2000Jul","1125190"
"2000-08-31","2000Aug","1092939"
"2000-09-30","2000Sep","1129178"
"2000-10-31","2000Oct","1110938"
"2000-11-30","2000Nov","1012224"
"2000-12-31","2000Dec","1004542"
"2001-01-31","2001Jan","977225"
"2001-02-28","2001Feb","971067"
"2001-03-31","2001Mar","983537"
"2001-04-30","2001Apr","952542"
"2001-05-31","2001May","982677"
"2001-06-30","2001Jun","1026653"
"2001-07-31","2001Jul","1019272"
"2001-08-31","2001Aug","975315"
"2001-09-30","2001Sep","971017"
"2001-10-31","2001Oct","944619"
"2001-11-30","2001Nov","957448"
"2001-12-31","2001Dec","997248"
"2002-01-31","2002Jan","1037001"
"2002-02-28","2002Feb","1017048"
"2002-03-31","2002Mar","1029156"
"2002-04-30","2002Apr","981409"
"2002-05-31","2002May","987897"
"2002-06-30","2002Jun","1001374"
"2002-07-31","2002Jul","985279"
"2002-08-31","2002Aug","987322"
"2002-09-30","2002Sep","1000320"
"2002-10-31","2002Oct","1003790"
"2002-11-30","2002Nov","1013073"
"2002-12-31","2002Dec","1041567"
"2003-01-31","2003Jan","1025301"
"2003-02-28","2003Feb","1021004"
"2003-03-31","2003Mar","1015412"
"2003-04-30","2003Apr","972116"
"2003-05-31","2003May","1046869"
"2003-06-30","2003Jun","1074621"
"2003-07-31","2003Jul","1048755"
"2003-08-31","2003Aug","1063772"
"2003-09-30","2003Sep","1089123"
"2003-10-31","2003Oct","1081443"
"2003-11-30","2003Nov","1078507"
"2003-12-31","2003Dec","1086841"
