"DateTime","Yield (x)","Yield (y)"
"Yield","2015-07-15 00:00:00",0.88023
"Yield","2015-07-16 00:00:00",0.838819
"Yield","2015-07-17 00:00:00",0.811036
"Yield","2015-07-20 00:00:00",0.789373
"Yield","2015-07-21 00:00:00",0.75246
"Yield","2015-07-22 00:00:00",0.783107
"Yield","2015-07-23 00:00:00",0.735849
"Yield","2015-07-24 00:00:00",0.722585
"Yield","2015-07-27 00:00:00",0.681725
"Yield","2015-07-28 00:00:00",0.729511
"Yield","2015-07-29 00:00:00",0.698849
"Yield","2015-07-30 00:00:00",0.695556
"Yield","2015-07-31 00:00:00",0.67216
"Yield","2015-08-03 00:00:00",0.664876
"Yield","2015-08-04 00:00:00",0.622217
"Yield","2015-08-05 00:00:00",0.6647
"Yield","2015-08-06 00:00:00",0.724633
"Yield","2015-08-07 00:00:00",0.71747
"Yield","2015-08-10 00:00:00",0.672404
"Yield","2015-08-11 00:00:00",0.666208
"Yield","2015-08-12 00:00:00",0.609273
"Yield","2015-08-13 00:00:00",0.6191
"Yield","2015-08-14 00:00:00",0.621128
"Yield","2015-08-17 00:00:00",0.634129
"Yield","2015-08-18 00:00:00",0.617786
"Yield","2015-08-19 00:00:00",0.634955
"Yield","2015-08-20 00:00:00",0.599122
"Yield","2015-08-21 00:00:00",0.582917
"Yield","2015-08-24 00:00:00",0.567525
"Yield","2015-08-25 00:00:00",0.641511
"Yield","2015-08-26 00:00:00",0.684329
"Yield","2015-08-27 00:00:00",0.711793
"Yield","2015-08-28 00:00:00",0.724136
"Yield","2015-08-31 00:00:00",0.72502
"Yield","2015-09-01 00:00:00",0.790077
"Yield","2015-09-02 00:00:00",0.771362
"Yield","2015-09-03 00:00:00",0.784663
"Yield","2015-09-04 00:00:00",0.691715
"Yield","2015-09-07 00:00:00",0.676142
"Yield","2015-09-08 00:00:00",0.67503
"Yield","2015-09-09 00:00:00",0.694476
"Yield","2015-09-10 00:00:00",0.683941
"Yield","2015-09-11 00:00:00",0.678799
"Yield","2015-09-14 00:00:00",0.650896
"Yield","2015-09-15 00:00:00",0.667233
"Yield","2015-09-16 00:00:00",0.744563
"Yield","2015-09-17 00:00:00",0.769289
"Yield","2015-09-18 00:00:00",0.691605
"Yield","2015-09-21 00:00:00",0.680096
"Yield","2015-09-22 00:00:00",0.640913
"Yield","2015-09-23 00:00:00",0.613128
"Yield","2015-09-24 00:00:00",0.609748
"Yield","2015-09-25 00:00:00",0.643617
"Yield","2015-09-28 00:00:00",0.623903
"Yield","2015-09-29 00:00:00",0.599191
"Yield","2015-09-30 00:00:00",0.604209
"Yield","2015-10-01 00:00:00",0.577261
"Yield","2015-10-02 00:00:00",0.558867
"Yield","2015-10-05 00:00:00",0.53517
"Yield","2015-10-06 00:00:00",0.582046
"Yield","2015-10-07 00:00:00",0.621977
"Yield","2015-10-08 00:00:00",0.567259
"Yield","2015-10-09 00:00:00",0.595969
"Yield","2015-10-12 00:00:00",0.603978
"Yield","2015-10-13 00:00:00",0.558722
"Yield","2015-10-14 00:00:00",0.553486
"Yield","2015-10-15 00:00:00",0.536758
"Yield","2015-10-16 00:00:00",0.540849
"Yield","2015-10-19 00:00:00",0.556994
"Yield","2015-10-20 00:00:00",0.573298
"Yield","2015-10-21 00:00:00",0.595818
"Yield","2015-10-22 00:00:00",0.570788
"Yield","2015-10-23 00:00:00",0.506238
"Yield","2015-10-26 01:00:00",0.503932
"Yield","2015-10-27 01:00:00",0.489507
"Yield","2015-10-28 01:00:00",0.443564
"Yield","2015-10-29 01:00:00",0.451254
"Yield","2015-10-30 01:00:00",0.505187
"Yield","2015-11-02 01:00:00",0.564608
"Yield","2015-11-03 01:00:00",0.551108
"Yield","2015-11-04 01:00:00",0.565406
"Yield","2015-11-05 01:00:00",0.585711
"Yield","2015-11-06 01:00:00",0.601123
"Yield","2015-11-09 01:00:00",0.70728
"Yield","2015-11-11 01:00:00",0.616364
"Yield","2015-11-12 01:00:00",0.598409
"Yield","2015-11-13 01:00:00",0.575506
"Yield","2015-11-16 01:00:00",0.559878
"Yield","2015-11-17 01:00:00",0.529828
"Yield","2015-11-18 01:00:00",0.503967
"Yield","2015-11-19 01:00:00",0.493286
"Yield","2015-11-20 01:00:00",0.49315
"Yield","2015-11-23 01:00:00",0.523913
"Yield","2015-11-25 01:00:00",0.492743
"Yield","2015-11-26 01:00:00",0.474848
"Yield","2015-11-27 01:00:00",0.464432
"Yield","2015-11-30 01:00:00",0.470454
"Yield","2015-12-01 01:00:00",0.491927
"Yield","2015-12-02 01:00:00",0.448598
"Yield","2015-12-03 01:00:00",0.480041
"Yield","2015-12-04 01:00:00",0.657784
"Yield","2015-12-07 01:00:00",0.641951
"Yield","2015-12-08 01:00:00",0.596861
"Yield","2015-12-09 01:00:00",0.572766
"Yield","2015-12-10 01:00:00",0.595382
"Yield","2015-12-11 01:00:00",0.558761
"Yield","2015-12-14 01:00:00",0.564893
"Yield","2015-12-15 01:00:00",0.635926
"Yield","2015-12-16 01:00:00",0.635828
"Yield","2015-12-17 01:00:00",0.594618
"Yield","2015-12-18 01:00:00",0.56941
"Yield","2015-12-21 01:00:00",0.556766
"Yield","2015-12-22 01:00:00",0.566043
"Yield","2015-12-23 01:00:00",0.601197
"Yield","2015-12-28 01:00:00",0.605183
"Yield","2015-12-29 01:00:00",0.589325
"Yield","2015-12-30 01:00:00",0.640486
"Yield","2016-01-04 01:00:00",0.580254
"Yield","2016-01-05 01:00:00",0.554966
"Yield","2016-01-06 01:00:00",0.510936
"Yield","2016-01-07 01:00:00",0.501148
"Yield","2016-01-08 01:00:00",0.534452
"Yield","2016-01-11 01:00:00",0.528046
"Yield","2016-01-12 01:00:00",0.575134
"Yield","2016-01-13 01:00:00",0.528837
"Yield","2016-01-14 01:00:00",0.478282
"Yield","2016-01-15 01:00:00",0.483356
"Yield","2016-01-18 01:00:00",0.481129
"Yield","2016-01-19 01:00:00",0.477857
