"DATE","TIME PERIOD","Holdings of Debt securities issued by euro area residents reported by the Eurosystem (stocks) (BSI.M.U2.N.C.A30.A.1.U2.0000.Z01.E)"
"1997-09-30","1997Sep","115350"
"1997-10-31","1997Oct","113574"
"1997-11-30","1997Nov","113524"
"1997-12-31","1997Dec","113955"
"1998-01-31","1998Jan","111730"
"1998-02-28","1998Feb","108230"
"1998-03-31","1998Mar","106666"
"1998-04-30","1998Apr","102531"
"1998-05-31","1998May","101880"
"1998-06-30","1998Jun","105398"
"1998-07-31","1998Jul","87854"
"1998-08-31","1998Aug","88099"
"1998-09-30","1998Sep","82663"
"1998-10-31","1998Oct","73291"
"1998-11-30","1998Nov","78004"
"1998-12-31","1998Dec","87830"
"1999-01-31","1999Jan","89219"
"1999-02-28","1999Feb","90633"
"1999-03-31","1999Mar","93977"
"1999-04-30","1999Apr","93151"
"1999-05-31","1999May","93033"
"1999-06-30","1999Jun","92332"
"1999-07-31","1999Jul","92292"
"1999-08-31","1999Aug","91921"
"1999-09-30","1999Sep","92402"
"1999-10-31","1999Oct","92377"
"1999-11-30","1999Nov","92620"
"1999-12-31","1999Dec","89101"
"2000-01-31","2000Jan","90271"
"2000-02-29","2000Feb","93218"
"2000-03-31","2000Mar","96153"
"2000-04-30","2000Apr","96652"
"2000-05-31","2000May","97089"
"2000-06-30","2000Jun","97439"
"2000-07-31","2000Jul","98211"
"2000-08-31","2000Aug","98472"
"2000-09-30","2000Sep","98497"
"2000-10-31","2000Oct","98690"
"2000-11-30","2000Nov","98806"
"2000-12-31","2000Dec","97421"
"2001-01-31","2001Jan","104465"
"2001-02-28","2001Feb","105179"
"2001-03-31","2001Mar","105000"
"2001-04-30","2001Apr","106524"
"2001-05-31","2001May","106405"
"2001-06-30","2001Jun","105830"
"2001-07-31","2001Jul","106948"
"2001-08-31","2001Aug","107560"
"2001-09-30","2001Sep","106591"
"2001-10-31","2001Oct","107836"
"2001-11-30","2001Nov","107289"
"2001-12-31","2001Dec","106958"
"2002-01-31","2002Jan","104057"
"2002-02-28","2002Feb","105850"
"2002-03-31","2002Mar","106464"
"2002-04-30","2002Apr","107520"
"2002-05-31","2002May","107013"
"2002-06-30","2002Jun","107913"
"2002-07-31","2002Jul","108904"
"2002-08-31","2002Aug","110813"
"2002-09-30","2002Sep","112577"
"2002-10-31","2002Oct","113579"
"2002-11-30","2002Nov","115133"
"2002-12-31","2002Dec","94638"
"2003-01-31","2003Jan","97314"
"2003-02-28","2003Feb","101408"
"2003-03-31","2003Mar","105672"
"2003-04-30","2003Apr","107970"
"2003-05-31","2003May","113268"
"2003-06-30","2003Jun","114427"
"2003-07-31","2003Jul","115525"
"2003-08-31","2003Aug","117655"
"2003-09-30","2003Sep","121893"
"2003-10-31","2003Oct","123143"
"2003-11-30","2003Nov","124370"
"2003-12-31","2003Dec","133632"
"2004-01-31","2004Jan","136446"
"2004-02-29","2004Feb","140382"
"2004-03-31","2004Mar","143382"
"2004-04-30","2004Apr","145972"
"2004-05-31","2004May","146960"
"2004-06-30","2004Jun","147767"
"2004-07-31","2004Jul","148487"
"2004-08-31","2004Aug","151128"
"2004-09-30","2004Sep","150673"
"2004-10-31","2004Oct","152864"
"2004-11-30","2004Nov","156566"
"2004-12-31","2004Dec","154787"
"2005-01-31","2005Jan","159337"
"2005-02-28","2005Feb","162529"
"2005-03-31","2005Mar","167849"
"2005-04-30","2005Apr","169303"
"2005-05-31","2005May","173554"
"2005-06-30","2005Jun","176858"
"2005-07-31","2005Jul","176843"
"2005-08-31","2005Aug","180571"
"2005-09-30","2005Sep","183786"
"2005-10-31","2005Oct","184179"
"2005-11-30","2005Nov","184325"
"2005-12-31","2005Dec","183364"
"2006-01-31","2006Jan","185110"
"2006-02-28","2006Feb","184780"
"2006-03-31","2006Mar","185868"
