"DateTime","Yield (x)","Yield (y)"
"Yield","2015-03-10 01:00:00",-0.886222
"Yield","2015-03-11 01:00:00",-0.936217
"Yield","2015-03-12 01:00:00",-1.002369
"Yield","2015-03-13 01:00:00",-1.088493
"Yield","2015-03-16 01:00:00",-1.043337
"Yield","2015-03-17 01:00:00",-0.960142
"Yield","2015-03-18 01:00:00",-0.96839
"Yield","2015-03-19 01:00:00",-1.110189
"Yield","2015-03-20 01:00:00",-1.115685
"Yield","2015-03-23 01:00:00",-1.178867
"Yield","2015-03-24 01:00:00",-1.11265
"Yield","2015-03-25 01:00:00",-1.045859
"Yield","2015-03-26 01:00:00",-1.150729
"Yield","2015-03-27 01:00:00",-1.147596
"Yield","2015-03-30 00:00:00",-1.092369
"Yield","2015-03-31 00:00:00",-1.019721
"Yield","2015-04-01 00:00:00",-1.076722
"Yield","2015-04-02 00:00:00",-1.136692
"Yield","2015-04-07 00:00:00",-1.08522
"Yield","2015-04-08 00:00:00",-1.136818
"Yield","2015-04-09 00:00:00",-1.145601
"Yield","2015-04-10 00:00:00",-1.15032
"Yield","2015-04-13 00:00:00",-1.158012
"Yield","2015-04-14 00:00:00",-1.195188
"Yield","2015-04-15 00:00:00",-1.229099
"Yield","2015-04-16 00:00:00",-1.292262
"Yield","2015-04-17 00:00:00",-1.27676
"Yield","2015-04-20 00:00:00",-1.30688
"Yield","2015-04-21 00:00:00",-1.307226
"Yield","2015-04-22 00:00:00",-1.269567
"Yield","2015-04-23 00:00:00",-1.165669
"Yield","2015-04-24 00:00:00",-1.180625
"Yield","2015-04-27 00:00:00",-1.168657
"Yield","2015-04-28 00:00:00",-1.159505
"Yield","2015-04-29 00:00:00",-1.116393
"Yield","2015-04-30 00:00:00",-1.047012
"Yield","2015-05-04 00:00:00",-1.017075
"Yield","2015-05-05 00:00:00",-0.955182
"Yield","2015-05-06 00:00:00",-0.836242
"Yield","2015-05-07 00:00:00",-0.581238
"Yield","2015-05-08 00:00:00",-0.706725
"Yield","2015-05-11 00:00:00",-0.683675
"Yield","2015-05-12 00:00:00",-0.608028
"Yield","2015-05-13 00:00:00",-0.725077
"Yield","2015-05-14 00:00:00",-0.600253
"Yield","2015-05-15 00:00:00",-0.704776
"Yield","2015-05-18 00:00:00",-0.679154
"Yield","2015-05-19 00:00:00",-0.763018
"Yield","2015-05-20 00:00:00",-0.725675
"Yield","2015-05-21 00:00:00",-0.6717
"Yield","2015-05-22 00:00:00",-0.659052
"Yield","2015-05-26 00:00:00",-0.651169
"Yield","2015-05-27 00:00:00",-0.643743
"Yield","2015-05-28 00:00:00",-0.589065
"Yield","2015-05-29 00:00:00",-0.685696
"Yield","2015-06-01 00:00:00",-0.72982
"Yield","2015-06-02 00:00:00",-0.648244
"Yield","2015-06-03 00:00:00",-0.45989
"Yield","2015-06-04 00:00:00",-0.258419
"Yield","2015-06-05 00:00:00",-0.342396
"Yield","2015-06-08 00:00:00",-0.362833
"Yield","2015-06-09 00:00:00",-0.359436
