date;Securities to residents inside Sweden denomi-nated in Swedish kronor
2025-03-23;419500
2025-03-15;420195
2025-03-07;422621
2025-02-28;423135
2025-02-23;425143
2025-02-15;425779
2025-02-07;427264
2025-01-31;427822
2025-01-23;431393
2025-01-15;432011
2025-01-07;434990
2024-12-31;434990
2024-12-23;437659
2024-12-15;459998
2024-12-07;463917
2024-11-30;485150
2024-11-23;485828
2024-11-15;488468
2024-11-07;489112
2024-10-31;489169
2024-10-23;489775
2024-10-15;492524
2024-10-07;496311
2024-09-30;517756
2024-09-23;511289
2024-09-15;557124
2024-09-07;560013
2024-08-31;560023
2024-08-23;560123
2024-08-15;560593
2024-08-07;560593
2024-07-31;560593
2024-07-23;560593
2024-07-15;560627
2024-07-07;560627
2024-06-30;563251
2024-06-23;557500
2024-06-15;560530
2024-06-07;568713
2024-05-31;570704
2024-05-23;571312
2024-05-15;574221
2024-05-07;575029
2024-04-30;576615
2024-04-23;577458
2024-04-15;581081
2024-04-07;583845
2024-03-31;583915
2024-03-23;590916
2024-03-15;591661
2024-03-07;594447
2024-02-29;612867
2024-02-23;616265
2024-02-15;617747
2024-02-07;620423
2024-01-31;621112
2024-01-23;623176
2024-01-15;626674
2024-01-07;626688
2023-12-31;626688
2023-12-23;603034
2023-12-15;629951
2023-12-07;630967
2023-11-30;633220
2023-11-23;633966
2023-11-15;635822
2023-11-07;708055
2023-10-31;709827
2023-10-23;712388
2023-10-15;712985
2023-10-07;714919
2023-09-30;715338
2023-09-23;719938
2023-09-15;744935
2023-09-07;746929
2023-08-31;747167
2023-08-23;747283
2023-08-15;747353
2023-08-07;747353
2023-07-31;747353
2023-07-23;747488
2023-07-15;747674
2023-07-07;747674
2023-06-30;748052
2023-06-23;754142
2023-06-15;763322
2023-06-07;763706
2023-05-31;782909
2023-05-23;783255
2023-05-15;785440
2023-05-07;786945
2023-04-30;787254
2023-04-23;788689
2023-04-15;789316
2023-04-07;789386
2023-03-31;791127
2023-03-23;787405
2023-03-15;787575
2023-03-07;804405
2023-02-28;804555
2023-02-23;804688
2023-02-15;819167
2023-02-07;819355
2023-01-31;819375
2023-01-23;819501
2023-01-15;819664
2023-01-07;819664
2022-12-31;819664
2022-12-23;816451
2022-12-15;837272
2022-12-07;835949
2022-11-30;835953
2022-11-23;835818
2022-11-15;834825
2022-11-07;833909
2022-10-31;833848
2022-10-23;832289
2022-10-15;831987
2022-10-07;830261
2022-09-30;829660
2022-09-23;840435
2022-09-15;860108
2022-09-07;858929
2022-08-31;858457
2022-08-23;857535
2022-08-15;856995
2022-08-07;856272
2022-07-31;856272
2022-07-23;856272
2022-07-15;859872
2022-07-07;859872
2022-06-30;858929
2022-06-23;882188
2022-06-15;879696
2022-06-07;899572
2022-05-31;981880
2022-05-23;978062
2022-05-15;979468
2022-05-07;976965
2022-04-30;974058
2022-04-23;969725
2022-04-15;967514
2022-04-07;975744
2022-03-31;971578
2022-03-23;1004633
2022-03-15;1012170
2022-03-07;1007430
2022-02-28;1006208
2022-02-23;1002761
2022-02-15;998794
2022-02-07;992999
2022-01-31;988986
2022-01-23;980589
2022-01-15;978277
2022-01-07;974712
2021-12-31;974712
2021-12-23;976735
2021-12-15;968134
2021-12-07;995015
2021-11-30;988820
2021-11-23;986897
2021-11-15;978124
2021-11-07;966862
2021-10-31;956352
2021-10-23;950121
2021-10-15;942534
2021-10-07;933962
2021-09-30;926316
2021-09-23;916746
2021-09-15;906917
2021-09-07;908350
2021-08-31;897207
2021-08-23;886684
2021-08-15;880548
2021-08-07;880375
2021-07-31;880325
2021-07-23;880333
2021-07-15;873918
2021-07-07;865073
2021-06-30;857536
2021-06-23;857491
2021-06-15;852109
2021-06-07;842664
2021-05-31;829870
2021-05-23;815546
2021-05-15;811753
2021-05-07;800537
2021-04-30;791731
2021-04-23;782368
2021-04-15;771674
2021-04-07;760119
2021-03-31;755693
2021-03-23;750450
2021-03-15;740524
2021-03-07;725047
2021-02-28;711059
2021-02-23;709775
2021-02-15;698216
2021-02-07;675998
2021-01-31;665088
2021-01-23;655222
2021-01-15;644872
2021-01-07;640909
2020-12-31;640836
2020-12-23;642153
2020-12-15;629201
2020-12-07;616748
2020-11-30;682281
2020-11-23;673154
2020-11-15;657779
2020-11-07;648017
2020-10-31;639882
2020-10-23;630874
2020-10-15;621763
2020-10-07;611307
2020-09-30;597689
2020-09-23;591168
2020-09-15;583675
2020-09-07;575234
2020-08-31;567953
2020-08-23;554250
2020-08-15;545875
2020-08-07;537678
2020-07-31;535772
2020-07-23;529780
2020-07-15;529217
2020-07-07;522615
2020-06-30;522665
2020-06-23;514758
2020-06-15;510563
2020-06-07;497554
2020-05-31;490541
2020-05-23;489841
2020-05-15;477994
2020-05-07;467414
2020-04-30;455667
2020-04-23;442661
2020-04-15;435543
2020-04-07;419056
2020-03-31;394200
2020-03-23;385596
2020-03-15;381135
2020-03-07;380010
2020-02-29;380010
2020-02-23;378927
2020-02-15;378927
2020-02-07;377812
2020-01-31;376638
2020-01-23;375534
2020-01-15;375534
2020-01-07;375534
2019-12-31;375534
2019-12-23;383873
2019-12-15;382789
2019-12-07;382166
2019-11-30;381051
2019-11-23;379878
2019-11-15;378790
2019-11-07;377416
2019-10-31;377416
2019-10-23;377416
2019-10-15;375515
2019-10-07;374409
2019-09-30;373264
2019-09-23;372306
2019-09-15;370060
2019-09-07;370059
2019-08-31;367986
2019-08-23;366842
2019-08-15;365725
2019-08-07;365725
2019-07-31;365725
2019-07-23;365725
2019-07-15;365725
2019-07-07;365725
2019-06-30;365725
2019-06-23;362697
2019-06-15;361596
2019-06-07;361596
2019-05-31;366705
2019-05-23;365595
2019-05-15;364503
2019-05-07;363389
2019-04-30;362328
2019-04-23;362328
2019-04-15;362328
2019-04-07;360183
2019-03-31;359099
2019-03-23;356673
2019-03-15;354499
2019-03-07;401763
2019-02-28;401763
2019-02-23;400695
2019-02-15;399339
2019-02-07;397909
2019-01-31;396555
2019-01-23;395230
2019-01-15;393651
2019-01-07;392063
2018-12-31;392063
2018-12-23;393042
2018-12-15;391706
2018-12-07;389689
2018-11-30;389689
2018-11-23;388331
2018-11-15;386976
2018-11-07;385947
2018-10-31;384855
2018-10-23;383119
2018-10-15;382066
2018-10-07;379875
2018-09-30;378843
2018-09-23;382149
2018-09-15;381079
2018-09-07;381079
2018-08-31;379938
2018-08-23;378868
2018-08-15;377119
2018-08-07;375967
2018-07-31;375967
2018-07-23;375967
2018-07-15;375967
2018-07-07;375967
2018-06-30;375967
2018-06-23;373803
2018-06-15;372765
2018-06-07;371619
2018-05-31;371619
2018-05-23;369717
2018-05-15;368451
2018-05-07;368451
2018-04-30;367390
2018-04-23;365629
2018-04-15;363472
2018-04-07;363472
2018-03-31;363472
2018-03-23;363812
2018-03-15;362776
2018-03-07;361009
2018-02-28;361009
2018-02-23;359896
2018-02-15;358839
2018-02-07;357794
2018-01-31;356138
2018-01-23;354987
2018-01-15;353874
2018-01-07;353874
2017-12-31;353874
2017-12-23;353869
2017-12-15;352397
2017-12-07;349361
2017-11-30;347833
2017-11-23;345489
2017-11-15;343886
2017-11-07;341462
2017-10-31;341462
2017-10-23;339373
2017-10-15;336127
2017-10-07;334931
2017-09-30;332652
2017-09-23;333671
2017-09-15;331492
2017-09-07;330303
2017-08-31;327855
2017-08-23;326593
2017-08-15;324538
2017-08-07;351345
2017-07-31;351345
2017-07-23;351345
2017-07-15;350071
2017-07-07;347738
2017-06-30;345985
2017-06-23;349282
2017-06-15;346673
2017-06-07;344079
2017-05-31;341394
2017-05-23;341394
2017-05-15;337749
2017-05-07;333086
2017-04-30;330218
2017-04-23;327413
2017-04-15;327413
2017-04-07;324921
2017-03-31;322159
2017-03-23;322601
2017-03-15;320092
2017-03-07;317241
2017-02-28;317241
2017-02-23;314699
2017-02-15;312046
2017-02-07;309615
2017-01-31;306557
2017-01-23;302984
2017-01-15;298645
