Period;Group;Series;Average;Ultimo
1995 January;Riksbank key interest rates;Policy rate;7.60;7.60
1995 February;Riksbank key interest rates;Policy rate;7.7075;7.83
1995 March;Riksbank key interest rates;Policy rate;8.06957;8.20
1995 April;Riksbank key interest rates;Policy rate;8.33611;8.41
1995 May;Riksbank key interest rates;Policy rate;8.41;8.41
1995 June;Riksbank key interest rates;Policy rate;8.6225;8.66
1995 July;Riksbank key interest rates;Policy rate;8.88619;8.91
1995 August;Riksbank key interest rates;Policy rate;8.91;8.91
1995 September;Riksbank key interest rates;Policy rate;8.91;8.91
1995 October;Riksbank key interest rates;Policy rate;8.91;8.91
1995 November;Riksbank key interest rates;Policy rate;8.91;8.91
1995 December;Riksbank key interest rates;Policy rate;8.91;8.91
1996 January;Riksbank key interest rates;Policy rate;8.71864;8.45
1996 February;Riksbank key interest rates;Policy rate;8.34048;8.05
1996 March;Riksbank key interest rates;Policy rate;7.75476;7.40
1996 April;Riksbank key interest rates;Policy rate;7.15;6.90
1996 May;Riksbank key interest rates;Policy rate;6.67;6.50
1996 June;Riksbank key interest rates;Policy rate;6.24737;6.10
1996 July;Riksbank key interest rates;Policy rate;5.81522;5.55
1996 August;Riksbank key interest rates;Policy rate;5.44091;5.25
1996 September;Riksbank key interest rates;Policy rate;5.16429;5.05
1996 October;Riksbank key interest rates;Policy rate;4.92391;4.60
1996 November;Riksbank key interest rates;Policy rate;4.56429;4.35
1996 December;Riksbank key interest rates;Policy rate;4.25278;4.10
1997 January;Riksbank key interest rates;Policy rate;4.10;4.10
1997 February;Riksbank key interest rates;Policy rate;4.10;4.10
1997 March;Riksbank key interest rates;Policy rate;4.10;4.10
1997 April;Riksbank key interest rates;Policy rate;4.10;4.10
1997 May;Riksbank key interest rates;Policy rate;4.10;4.10
1997 June;Riksbank key interest rates;Policy rate;4.10;4.10
1997 July;Riksbank key interest rates;Policy rate;4.10;4.10
1997 August;Riksbank key interest rates;Policy rate;4.10;4.10
1997 September;Riksbank key interest rates;Policy rate;4.10;4.10
1997 October;Riksbank key interest rates;Policy rate;4.10;4.10
1997 November;Riksbank key interest rates;Policy rate;4.10;4.10
1997 December;Riksbank key interest rates;Policy rate;4.20526;4.35
1998 January;Riksbank key interest rates;Policy rate;4.35;4.35
1998 February;Riksbank key interest rates;Policy rate;4.35;4.35
1998 March;Riksbank key interest rates;Policy rate;4.35;4.35
1998 April;Riksbank key interest rates;Policy rate;4.35;4.35
1998 May;Riksbank key interest rates;Policy rate;4.35;4.35
1998 June;Riksbank key interest rates;Policy rate;4.1625;4.10
1998 July;Riksbank key interest rates;Policy rate;4.10;4.10
1998 August;Riksbank key interest rates;Policy rate;4.10;4.10
1998 September;Riksbank key interest rates;Policy rate;4.10;4.10
1998 October;Riksbank key interest rates;Policy rate;4.10;4.10
1998 November;Riksbank key interest rates;Policy rate;3.82619;3.60
1998 December;Riksbank key interest rates;Policy rate;3.51;3.40
1999 January;Riksbank key interest rates;Policy rate;3.40;3.40
1999 February;Riksbank key interest rates;Policy rate;3.30;3.15
1999 March;Riksbank key interest rates;Policy rate;3.13913;2.90
1999 April;Riksbank key interest rates;Policy rate;2.90;2.90
1999 May;Riksbank key interest rates;Policy rate;2.90;2.90
1999 June;Riksbank key interest rates;Policy rate;2.90;2.90
1999 July;Riksbank key interest rates;Policy rate;2.90;2.90
1999 August;Riksbank key interest rates;Policy rate;2.90;2.90
1999 September;Riksbank key interest rates;Policy rate;2.90;2.90
1999 October;Riksbank key interest rates;Policy rate;2.90;2.90
1999 November;Riksbank key interest rates;Policy rate;3.05909;3.25
1999 December;Riksbank key interest rates;Policy rate;3.25;3.25
2000 January;Riksbank key interest rates;Policy rate;3.25;3.25
2000 February;Riksbank key interest rates;Policy rate;3.60714;3.75
2000 March;Riksbank key interest rates;Policy rate;3.75;3.75
2000 April;Riksbank key interest rates;Policy rate;3.75;3.75
2000 May;Riksbank key interest rates;Policy rate;3.75;3.75
2000 June;Riksbank key interest rates;Policy rate;3.75;3.75
2000 July;Riksbank key interest rates;Policy rate;3.75;3.75
2000 August;Riksbank key interest rates;Policy rate;3.75;3.75
2000 September;Riksbank key interest rates;Policy rate;3.75;3.75
2000 October;Riksbank key interest rates;Policy rate;3.75;3.75
2000 November;Riksbank key interest rates;Policy rate;3.75;3.75
2000 December;Riksbank key interest rates;Policy rate;3.89474;4.00
2001 January;Riksbank key interest rates;Policy rate;4.00;4.00
2001 February;Riksbank key interest rates;Policy rate;4.00;4.00
2001 March;Riksbank key interest rates;Policy rate;4.00;4.00
2001 April;Riksbank key interest rates;Policy rate;4.00;4.00
2001 May;Riksbank key interest rates;Policy rate;4.00;4.00
2001 June;Riksbank key interest rates;Policy rate;4.00;4.00
2001 July;Riksbank key interest rates;Policy rate;4.17045;4.25
2001 August;Riksbank key interest rates;Policy rate;4.25;4.25
2001 September;Riksbank key interest rates;Policy rate;4.05;3.75
2001 October;Riksbank key interest rates;Policy rate;3.75;3.75
2001 November;Riksbank key interest rates;Policy rate;3.75;3.75
2001 December;Riksbank key interest rates;Policy rate;3.75;3.75
2002 January;Riksbank key interest rates;Policy rate;3.75;3.75
2002 February;Riksbank key interest rates;Policy rate;3.75;3.75
2002 March;Riksbank key interest rates;Policy rate;3.8375;4.00
2002 April;Riksbank key interest rates;Policy rate;4.00;4.00
2002 May;Riksbank key interest rates;Policy rate;4.25;4.25
2002 June;Riksbank key interest rates;Policy rate;4.25;4.25
2002 July;Riksbank key interest rates;Policy rate;4.25;4.25
2002 August;Riksbank key interest rates;Policy rate;4.25;4.25
2002 September;Riksbank key interest rates;Policy rate;4.25;4.25
2002 October;Riksbank key interest rates;Policy rate;4.25;4.25
2002 November;Riksbank key interest rates;Policy rate;4.15476;4.00
2002 December;Riksbank key interest rates;Policy rate;3.84722;3.75
