"SPIN2015","Tid","TAB3184"
"B-E","1990M01",60.7
"B-E","1990M02",60.8
"B-E","1990M03",60.8
"B-E","1990M04",60.7
"B-E","1990M05",60.7
"B-E","1990M06",60.8
"B-E","1990M07",60.9
"B-E","1990M08",61.4
"B-E","1990M09",61.9
"B-E","1990M10",62.4
"B-E","1990M11",62.4
"B-E","1990M12",62.1
"B-E","1991M01",63.1
"B-E","1991M02",63.0
"B-E","1991M03",62.9
"B-E","1991M04",62.7
"B-E","1991M05",62.3
"B-E","1991M06",62.2
"B-E","1991M07",62.2
"B-E","1991M08",62.1
"B-E","1991M09",62.1
"B-E","1991M10",62.2
"B-E","1991M11",62.1
"B-E","1991M12",62.0
"B-E","1992M01",61.8
"B-E","1992M02",61.8
"B-E","1992M03",61.7
"B-E","1992M04",61.7
"B-E","1992M05",61.7
"B-E","1992M06",61.7
"B-E","1992M07",61.4
"B-E","1992M08",61.1
"B-E","1992M09",60.9
"B-E","1992M10",61.1
"B-E","1992M11",61.4
"B-E","1992M12",62.5
"B-E","1993M01",63.6
"B-E","1993M02",64.1
"B-E","1993M03",64.8
"B-E","1993M04",65.0
"B-E","1993M05",64.7
"B-E","1993M06",64.5
"B-E","1993M07",64.7
"B-E","1993M08",65.0
"B-E","1993M09",65.1
"B-E","1993M10",65.4
"B-E","1993M11",65.6
"B-E","1993M12",65.8
"B-E","1994M01",66.7
"B-E","1994M02",66.6
"B-E","1994M03",66.7
"B-E","1994M04",66.8
"B-E","1994M05",66.8
"B-E","1994M06",67.2
"B-E","1994M07",68.0
"B-E","1994M08",68.3
"B-E","1994M09",68.7
"B-E","1994M10",69.2
"B-E","1994M11",69.5
"B-E","1994M12",70.0
"B-E","1995M01",71.9
"B-E","1995M02",72.6
"B-E","1995M03",72.9
"B-E","1995M04",73.8
"B-E","1995M05",74.2
"B-E","1995M06",74.3
"B-E","1995M07",74.9
"B-E","1995M08",75.1
"B-E","1995M09",75.2
"B-E","1995M10",74.8
"B-E","1995M11",74.2
"B-E","1995M12",73.6
"B-E","1996M01",73.7
"B-E","1996M02",73.8
"B-E","1996M03",73.6
"B-E","1996M04",73.2
"B-E","1996M05",72.7
"B-E","1996M06",72.3
"B-E","1996M07",72.3
"B-E","1996M08",72.1
"B-E","1996M09",72.3
"B-E","1996M10",72.2
"B-E","1996M11",71.9
"B-E","1996M12",72.1
"B-E","1997M01",72.4
"B-E","1997M02",72.5
"B-E","1997M03",72.7
"B-E","1997M04",73.2
"B-E","1997M05",73.6
"B-E","1997M06",73.5
"B-E","1997M07",73.5
"B-E","1997M08",73.6
"B-E","1997M09",73.5
"B-E","1997M10",73.3
"B-E","1997M11",73.6
"B-E","1997M12",73.4
"B-E","1998M01",73.6
